Chr	From	To	Copia	Gypsy	unknown	Total_LTR
Chr1	27900001	30900000	0.0250	0.1093	0.0343	0.1667
Chr1	28200001	31200000	0.0252	0.0916	0.0341	0.1491
Chr1	28500001	31500000	0.0290	0.1020	0.0333	0.1628
Chr1	28800001	31800000	0.0260	0.0996	0.0345	0.1584
Chr1	29100001	32100000	0.0245	0.0941	0.0344	0.1513
Chr1	29400001	32400000	0.0245	0.0930	0.0339	0.1495
Chr1	29700001	32700000	0.0268	0.0925	0.0320	0.1493
Chr1	30000001	33000000	0.0245	0.0895	0.0329	0.1449
Chr1	30300001	33300000	0.0207	0.0847	0.0325	0.1361
Chr1	30600001	33600000	0.0213	0.0905	0.0307	0.1408
Chr1	30900001	33900000	0.0220	0.0951	0.0299	0.1455
Chr1	31200001	34200000	0.0216	0.0999	0.0295	0.1493
Chr1	31500001	34500000	0.0227	0.0987	0.0310	0.1505
Chr1	31800001	34800000	0.0249	0.0924	0.0344	0.1499
Chr1	32100001	35100000	0.0249	0.0954	0.0342	0.1527
Chr1	32400001	35400000	0.0255	0.1021	0.0342	0.1605
Chr1	32700001	35700000	0.0261	0.1005	0.0337	0.1588
Chr1	33000001	36000000	0.0305	0.1067	0.0330	0.1685
Chr1	33300001	36300000	0.0294	0.1120	0.0349	0.1746
Chr1	33600001	36600000	0.0320	0.1240	0.0345	0.1888
Chr1	33900001	36900000	0.0298	0.1259	0.0353	0.1892
Chr1	34200001	37200000	0.0305	0.1269	0.0353	0.1910
Chr1	34500001	37500000	0.0255	0.1229	0.0369	0.1833
Chr1	34800001	37800000	0.0226	0.1334	0.0335	0.1874
Chr1	35100001	38100000	0.0226	0.1371	0.0339	0.1913
Chr1	35400001	38400000	0.0210	0.1310	0.0317	0.1814
Chr1	35700001	38700000	0.0180	0.1354	0.0312	0.1824
Chr1	36000001	39000000	0.0150	0.1314	0.0313	0.1758
Chr1	36300001	39300000	0.0148	0.1324	0.0292	0.1744
Chr1	36600001	39600000	0.0115	0.1191	0.0289	0.1575
Chr1	36900001	39900000	0.0120	0.1137	0.0297	0.1535
Chr1	37200001	40200000	0.0110	0.1247	0.0272	0.1607
Chr1	37500001	40500000	0.0123	0.1160	0.0250	0.1514
Chr1	37800001	40800000	0.0122	0.1017	0.0241	0.1363
Chr1	38100001	41100000	0.0121	0.0986	0.0248	0.1337
Chr1	38400001	41400000	0.0117	0.0980	0.0279	0.1352
Chr1	38700001	41700000	0.0122	0.0960	0.0295	0.1354
Chr1	39000001	42000000	0.0151	0.0968	0.0329	0.1419
Chr1	39300001	42300000	0.0183	0.0973	0.0361	0.1489
Chr1	39600001	42600000	0.0206	0.0960	0.0362	0.1497
Chr1	39900001	42900000	0.0240	0.1101	0.0346	0.1656
Chr1	40200001	43200000	0.0257	0.0962	0.0348	0.1540
Chr1	40500001	43500000	0.0243	0.1062	0.0327	0.1606
Chr1	40800001	43672899	0.0262	0.1240	0.0327	0.1804
Chr2	1	3000000	0.0238	0.1138	0.0269	0.1624
Chr2	300001	3300000	0.0241	0.1162	0.0278	0.1661
Chr2	600001	3600000	0.0314	0.1171	0.0282	0.1742
Chr2	900001	3900000	0.0341	0.1203	0.0267	0.1789
Chr2	1200001	4200000	0.0348	0.1256	0.0294	0.1875
Chr2	1500001	4500000	0.0337	0.1279	0.0300	0.1893
Chr2	1800001	4800000	0.0323	0.1329	0.0307	0.1935
Chr2	2100001	5100000	0.0361	0.1297	0.0310	0.1948
Chr2	2400001	5400000	0.0342	0.1197	0.0312	0.1833
Chr2	2700001	5700000	0.0325	0.1020	0.0289	0.1616
Chr2	3000001	6000000	0.0304	0.1020	0.0284	0.1590
Chr2	3300001	6300000	0.0308	0.1030	0.0302	0.1623
Chr2	3600001	6600000	0.0268	0.1115	0.0302	0.1668
Chr2	3900001	6900000	0.0250	0.0984	0.0320	0.1536
Chr2	4200001	7200000	0.0244	0.1005	0.0306	0.1535
Chr2	4500001	7500000	0.0234	0.1198	0.0309	0.1721
Chr2	4800001	7800000	0.0319	0.1186	0.0302	0.1790
Chr2	5100001	8100000	0.0324	0.1360	0.0336	0.2001
Chr2	5400001	8400000	0.0298	0.1872	0.0339	0.2487
Chr2	5700001	8700000	0.0315	0.1739	0.0386	0.2416
Chr2	6000001	9000000	0.0379	0.1764	0.0395	0.2515
Chr2	6300001	9300000	0.0363	0.1733	0.0379	0.2451
Chr2	6600001	9600000	0.0364	0.1783	0.0371	0.2494
Chr2	6900001	9900000	0.0361	0.2013	0.0350	0.2702
Chr2	7200001	10200000	0.0377	0.2086	0.0342	0.2784
Chr2	7500001	10500000	0.0414	0.1987	0.0389	0.2765
Chr2	7800001	10800000	0.0377	0.2157	0.0456	0.2965
Chr2	8100001	11100000	0.0348	0.2283	0.0407	0.3013
Chr2	8400001	11400000	0.0352	0.1887	0.0462	0.2674
Chr2	8700001	11700000	0.0356	0.2074	0.0436	0.2836
Chr2	9000001	12000000	0.0322	0.2212	0.0451	0.2957
Chr2	9300001	12300000	0.0341	0.2272	0.0497	0.3084
Chr2	9600001	12600000	0.0376	0.2384	0.0491	0.3225
Chr2	9900001	12900000	0.0377	0.2304	0.0519	0.3172
Chr2	10200001	13200000	0.0410	0.2344	0.0570	0.3292
Chr2	10500001	13500000	0.0411	0.2500	0.0544	0.3421
Chr2	10800001	13800000	0.0409	0.2564	0.0494	0.3426
Chr2	11100001	14100000	0.0393	0.2648	0.0514	0.3517
Chr2	11400001	14400000	0.0376	0.3006	0.0501	0.3843
Chr2	11700001	14700000	0.0378	0.3145	0.0525	0.4000
Chr2	12000001	15000000	0.0378	0.3472	0.0557	0.4352
Chr2	12300001	15300000	0.0392	0.3905	0.0523	0.4765
Chr2	12600001	15600000	0.0378	0.4070	0.0611	0.4980
Chr2	12900001	15900000	0.0379	0.4285	0.0657	0.5235
Chr2	13200001	16200000	0.0371	0.4502	0.0674	0.5458
Chr2	13500001	16500000	0.0338	0.4723	0.0710	0.5687
Chr2	13800001	16800000	0.0338	0.4558	0.0711	0.5529
Chr2	14100001	17100000	0.0400	0.4215	0.0702	0.5239
Chr2	14400001	17400000	0.0421	0.3866	0.0682	0.4899
Chr2	14700001	17700000	0.0412	0.3667	0.0640	0.4657
Chr2	15000001	18000000	0.0422	0.3484	0.0635	0.4482
Chr2	15300001	18300000	0.0419	0.3246	0.0628	0.4233
Chr2	15600001	18600000	0.0393	0.2848	0.0552	0.3753
Chr2	15900001	18900000	0.0373	0.2695	0.0523	0.3557
Chr2	16200001	19200000	0.0383	0.2454	0.0471	0.3279
Chr2	16500001	19500000	0.0388	0.2334	0.0503	0.3184
Chr2	16800001	19800000	0.0372	0.2340	0.0505	0.3176
Chr2	17100001	20100000	0.0354	0.2297	0.0519	0.3127
Chr2	17400001	20400000	0.0347	0.2274	0.0497	0.3075
Chr2	17700001	20700000	0.0336	0.2164	0.0514	0.2974
Chr2	18000001	21000000	0.0327	0.1988	0.0478	0.2754
Chr2	18300001	21300000	0.0311	0.1736	0.0473	0.2484
Chr2	18600001	21600000	0.0378	0.1840	0.0483	0.2658
Chr2	18900001	21900000	0.0405	0.2100	0.0484	0.2953
Chr2	19200001	22200000	0.0407	0.2007	0.0502	0.2881
Chr2	19500001	22500000	0.0406	0.1724	0.0421	0.2531
Chr2	19800001	22800000	0.0392	0.1709	0.0418	0.2498
Chr2	20100001	23100000	0.0372	0.1814	0.0405	0.2570
Chr2	20400001	23400000	0.0398	0.1815	0.0431	0.2622
Chr2	20700001	23700000	0.0405	0.1788	0.0432	0.2607
Chr2	21000001	24000000	0.0420	0.1738	0.0439	0.2573
Chr2	21300001	24300000	0.0403	0.1914	0.0435	0.2726
Chr2	21600001	24600000	0.0316	0.1758	0.0422	0.2479
Chr2	21900001	24900000	0.0279	0.1422	0.0372	0.2055
Chr2	22200001	25200000	0.0244	0.1446	0.0350	0.2017
Chr2	22500001	25500000	0.0242	0.1375	0.0342	0.1935
Chr2	22800001	25800000	0.0313	0.1443	0.0349	0.2073
Chr2	23100001	26100000	0.0287	0.2048	0.0403	0.2699
Chr2	23400001	26400000	0.0263	0.2223	0.0415	0.2859
Chr2	23700001	26700000	0.0252	0.2189	0.0446	0.2843
Chr2	24000001	27000000	0.0221	0.2142	0.0426	0.2749
Chr2	24300001	27300000	0.0230	0.1972	0.0426	0.2591
Chr2	24600001	27600000	0.0230	0.2062	0.0415	0.2670
Chr2	24900001	27900000	0.0232	0.1985	0.0452	0.2627
Chr2	25200001	28200000	0.0241	0.1947	0.0470	0.2612
Chr2	25500001	28500000	0.0255	0.2067	0.0476	0.2751
Chr2	25800001	28800000	0.0178	0.1949	0.0466	0.2552
Chr2	26100001	29100000	0.0219	0.1191	0.0411	0.1791
Chr2	26400001	29400000	0.0207	0.1018	0.0391	0.1584
Chr2	26700001	29700000	0.0259	0.1041	0.0356	0.1624
Chr2	27000001	30000000	0.0273	0.1130	0.0344	0.1716
Chr2	27300001	30300000	0.0262	0.1151	0.0375	0.1757
Chr2	27600001	30600000	0.0270	0.1126	0.0380	0.1738
Chr2	27900001	30900000	0.0268	0.1117	0.0359	0.1712
Chr2	28200001	31200000	0.0243	0.1163	0.0360	0.1735
Chr2	28500001	31500000	0.0232	0.1093	0.0357	0.1652
Chr2	28800001	31800000	0.0268	0.1071	0.0344	0.1654
Chr2	29100001	32100000	0.0229	0.1100	0.0325	0.1624
Chr2	29400001	32400000	0.0223	0.1098	0.0342	0.1635
Chr2	29700001	32700000	0.0191	0.1124	0.0341	0.1630
Chr2	30000001	33000000	0.0178	0.0994	0.0351	0.1497
Chr2	30300001	33300000	0.0165	0.0988	0.0326	0.1450
Chr2	30600001	33600000	0.0209	0.1020	0.0315	0.1521
Chr2	30900001	33900000	0.0237	0.0975	0.0332	0.1522
Chr2	31200001	34200000	0.0261	0.1049	0.0322	0.1617
Chr2	31500001	34500000	0.0264	0.1027	0.0308	0.1584
Chr2	31800001	34800000	0.0244	0.1026	0.0326	0.1579
Chr2	32100001	35100000	0.0250	0.1167	0.0338	0.1739
Chr2	32400001	35400000	0.0247	0.1133	0.0317	0.1686
Chr2	32700001	35700000	0.0263	0.1053	0.0305	0.1611
Chr2	33000001	36000000	0.0273	0.1116	0.0299	0.1678
Chr2	33300001	36300000	0.0272	0.1123	0.0308	0.1689
Chr2	33600001	36600000	0.0216	0.1096	0.0304	0.1602
Chr2	33900001	36900000	0.0184	0.1085	0.0280	0.1535
Chr2	34200001	37200000	0.0159	0.0916	0.0257	0.1319
Chr2	34500001	37500000	0.0141	0.0879	0.0251	0.1258
Chr2	34800001	37641802	0.0139	0.0948	0.0246	0.1322
Chr3	1	3000000	0.0133	0.1253	0.0435	0.1800
Chr3	300001	3300000	0.0135	0.1192	0.0396	0.1699
Chr3	600001	3600000	0.0154	0.1234	0.0338	0.1697
Chr3	900001	3900000	0.0166	0.1234	0.0341	0.1710
Chr3	1200001	4200000	0.0168	0.1251	0.0349	0.1739
Chr3	1500001	4500000	0.0166	0.1094	0.0364	0.1595
Chr3	1800001	4800000	0.0167	0.1031	0.0377	0.1542
Chr3	2100001	5100000	0.0128	0.1088	0.0388	0.1571
Chr3	2400001	5400000	0.0136	0.1038	0.0309	0.1453
Chr3	2700001	5700000	0.0134	0.0998	0.0312	0.1415
Chr3	3000001	6000000	0.0137	0.0929	0.0297	0.1340
Chr3	3300001	6300000	0.0130	0.0849	0.0318	0.1269
Chr3	3600001	6600000	0.0133	0.0782	0.0308	0.1204
Chr3	3900001	6900000	0.0174	0.0735	0.0287	0.1178
Chr3	4200001	7200000	0.0167	0.0773	0.0267	0.1189
Chr3	4500001	7500000	0.0197	0.0892	0.0266	0.1337
Chr3	4800001	7800000	0.0220	0.0896	0.0270	0.1365
Chr3	5100001	8100000	0.0256	0.0842	0.0266	0.1346
Chr3	5400001	8400000	0.0262	0.1065	0.0307	0.1614
Chr3	5700001	8700000	0.0304	0.1132	0.0316	0.1726
Chr3	6000001	9000000	0.0293	0.1169	0.0321	0.1758
Chr3	6300001	9300000	0.0304	0.1287	0.0359	0.1924
Chr3	6600001	9600000	0.0324	0.1521	0.0376	0.2194
Chr3	6900001	9900000	0.0283	0.1505	0.0387	0.2149
Chr3	7200001	10200000	0.0327	0.1412	0.0392	0.2105
Chr3	7500001	10500000	0.0301	0.1301	0.0394	0.1970
Chr3	7800001	10800000	0.0271	0.1240	0.0384	0.1875
Chr3	8100001	11100000	0.0255	0.1202	0.0372	0.1806
Chr3	8400001	11400000	0.0266	0.0914	0.0329	0.1487
Chr3	8700001	11700000	0.0257	0.0906	0.0336	0.1482
Chr3	9000001	12000000	0.0290	0.0953	0.0359	0.1583
Chr3	9300001	12300000	0.0306	0.0870	0.0312	0.1472
Chr3	9600001	12600000	0.0300	0.0593	0.0312	0.1189
Chr3	9900001	12900000	0.0291	0.0726	0.0286	0.1287
Chr3	10200001	13200000	0.0328	0.0740	0.0294	0.1348
Chr3	10500001	13500000	0.0340	0.0743	0.0278	0.1346
Chr3	10800001	13800000	0.0340	0.1162	0.0310	0.1793
Chr3	11100001	14100000	0.0316	0.1967	0.0425	0.2681
Chr3	11400001	14400000	0.0314	0.2292	0.0445	0.3024
Chr3	11700001	14700000	0.0345	0.2260	0.0444	0.3024
Chr3	12000001	15000000	0.0342	0.2233	0.0440	0.2990
Chr3	12300001	15300000	0.0347	0.2328	0.0450	0.3101
Chr3	12600001	15600000	0.0360	0.2512	0.0454	0.3300
Chr3	12900001	15900000	0.0385	0.2425	0.0477	0.3258
Chr3	13200001	16200000	0.0379	0.2581	0.0476	0.3408
Chr3	13500001	16500000	0.0416	0.2637	0.0486	0.3511
Chr3	13800001	16800000	0.0472	0.2346	0.0517	0.3308
Chr3	14100001	17100000	0.0553	0.1612	0.0426	0.2571
Chr3	14400001	17400000	0.0551	0.1509	0.0407	0.2448
Chr3	14700001	17700000	0.0544	0.1682	0.0407	0.2612
Chr3	15000001	18000000	0.0589	0.1697	0.0443	0.2709
Chr3	15300001	18300000	0.0570	0.1725	0.0466	0.2742
Chr3	15600001	18600000	0.0598	0.1623	0.0521	0.2722
Chr3	15900001	18900000	0.0584	0.1686	0.0548	0.2798
Chr3	16200001	19200000	0.0587	0.1659	0.0539	0.2767
Chr3	16500001	19500000	0.0568	0.1846	0.0546	0.2942
Chr3	16800001	19800000	0.0581	0.1957	0.0538	0.3051
Chr3	17100001	20100000	0.0556	0.2508	0.0602	0.3628
Chr3	17400001	20400000	0.0631	0.2820	0.0635	0.4040
Chr3	17700001	20700000	0.0670	0.3220	0.0655	0.4486
Chr3	18000001	21000000	0.0675	0.3629	0.0642	0.4887
Chr3	18300001	21300000	0.0689	0.3804	0.0605	0.5033
Chr3	18600001	21600000	0.0692	0.4213	0.0635	0.5467
Chr3	18900001	21900000	0.0727	0.4711	0.0636	0.5998
Chr3	19200001	22200000	0.0762	0.4708	0.0651	0.6041
Chr3	19500001	22500000	0.0761	0.4808	0.0662	0.6148
Chr3	19800001	22800000	0.0757	0.4780	0.0632	0.6098
Chr3	20100001	23100000	0.0709	0.4373	0.0583	0.5603
Chr3	20400001	23400000	0.0655	0.3998	0.0535	0.5131
Chr3	20700001	23700000	0.0591	0.3752	0.0514	0.4813
Chr3	21000001	24000000	0.0539	0.3613	0.0512	0.4621
Chr3	21300001	24300000	0.0517	0.3477	0.0541	0.4498
Chr3	21600001	24600000	0.0438	0.3144	0.0448	0.4003
Chr3	21900001	24900000	0.0471	0.2789	0.0423	0.3652
Chr3	22200001	25200000	0.0388	0.2866	0.0460	0.3685
Chr3	22500001	25500000	0.0381	0.2955	0.0440	0.3750
Chr3	22800001	25800000	0.0339	0.2974	0.0430	0.3714
Chr3	23100001	26100000	0.0365	0.2863	0.0394	0.3599
Chr3	23400001	26400000	0.0352	0.2766	0.0404	0.3497
Chr3	23700001	26700000	0.0370	0.2484	0.0431	0.3257
Chr3	24000001	27000000	0.0357	0.2194	0.0406	0.2929
Chr3	24300001	27300000	0.0393	0.2043	0.0385	0.2791
Chr3	24600001	27600000	0.0413	0.1947	0.0413	0.2744
Chr3	24900001	27900000	0.0339	0.1884	0.0434	0.2635
Chr3	25200001	28200000	0.0383	0.1758	0.0402	0.2522
Chr3	25500001	28500000	0.0388	0.1415	0.0421	0.2200
Chr3	25800001	28800000	0.0418	0.1220	0.0407	0.2023
Chr3	26100001	29100000	0.0412	0.1232	0.0429	0.2050
Chr3	26400001	29400000	0.0401	0.1233	0.0445	0.2060
Chr3	26700001	29700000	0.0360	0.1170	0.0418	0.1931
Chr3	27000001	30000000	0.0350	0.1179	0.0405	0.1913
Chr3	27300001	30300000	0.0309	0.1299	0.0411	0.2000
Chr3	27600001	30600000	0.0311	0.1239	0.0402	0.1934
Chr3	27900001	30900000	0.0384	0.1039	0.0380	0.1780
Chr3	28200001	31200000	0.0311	0.0960	0.0369	0.1617
Chr3	28500001	31500000	0.0288	0.0869	0.0351	0.1486
Chr3	28800001	31800000	0.0268	0.0898	0.0356	0.1500
Chr3	29100001	32100000	0.0267	0.0850	0.0343	0.1437
Chr3	29400001	32400000	0.0262	0.1085	0.0346	0.1671
Chr3	29700001	32700000	0.0247	0.1246	0.0357	0.1829
Chr3	30000001	33000000	0.0243	0.1252	0.0355	0.1833
Chr3	30300001	33300000	0.0267	0.1146	0.0341	0.1737
Chr3	30600001	33600000	0.0266	0.1255	0.0333	0.1825
Chr3	30900001	33900000	0.0217	0.1496	0.0366	0.2051
Chr3	31200001	34200000	0.0215	0.1476	0.0366	0.2033
Chr3	31500001	34500000	0.0241	0.1499	0.0356	0.2072
Chr3	31800001	34800000	0.0206	0.1480	0.0356	0.2018
Chr3	32100001	35100000	0.0217	0.1519	0.0358	0.2068
Chr3	32400001	35400000	0.0207	0.1295	0.0353	0.1829
Chr3	32700001	35700000	0.0214	0.1149	0.0345	0.1681
Chr3	33000001	36000000	0.0247	0.1115	0.0344	0.1679
Chr3	33300001	36300000	0.0221	0.1025	0.0336	0.1554
Chr3	33600001	36600000	0.0218	0.0967	0.0318	0.1485
Chr3	33900001	36900000	0.0219	0.0858	0.0263	0.1327
Chr3	34200001	37200000	0.0218	0.0970	0.0280	0.1455
Chr3	34500001	37500000	0.0210	0.0960	0.0301	0.1459
Chr3	34800001	37800000	0.0244	0.0926	0.0291	0.1450
Chr3	35100001	38100000	0.0210	0.0830	0.0285	0.1317
Chr3	35400001	38400000	0.0217	0.0787	0.0261	0.1256
Chr3	35700001	38700000	0.0236	0.0781	0.0250	0.1259
Chr3	36000001	39000000	0.0203	0.0788	0.0295	0.1277
Chr3	36300001	39118592	0.0212	0.0919	0.0296	0.1419
Chr4	1	3000000	0.0341	0.3275	0.0613	0.4202
Chr4	300001	3300000	0.0335	0.3640	0.0571	0.4507
Chr4	600001	3600000	0.0312	0.3828	0.0607	0.4707
Chr4	900001	3900000	0.0299	0.4056	0.0538	0.4860
Chr4	1200001	4200000	0.0314	0.4159	0.0532	0.4972
Chr4	1500001	4500000	0.0340	0.4101	0.0588	0.4995
Chr4	1800001	4800000	0.0349	0.4040	0.0625	0.4985
Chr4	2100001	5100000	0.0334	0.4123	0.0615	0.5046
Chr4	2400001	5400000	0.0327	0.4075	0.0633	0.5002
Chr4	2700001	5700000	0.0309	0.3956	0.0648	0.4881
Chr4	3000001	6000000	0.0389	0.3528	0.0623	0.4507
Chr4	3300001	6300000	0.0385	0.3341	0.0615	0.4315
Chr4	3600001	6600000	0.0364	0.3377	0.0634	0.4350
Chr4	3900001	6900000	0.0438	0.3218	0.0641	0.4273
Chr4	4200001	7200000	0.0415	0.3198	0.0635	0.4218
Chr4	4500001	7500000	0.0458	0.3334	0.0586	0.4346
Chr4	4800001	7800000	0.0416	0.3549	0.0534	0.4468
Chr4	5100001	8100000	0.0410	0.3914	0.0560	0.4841
Chr4	5400001	8400000	0.0422	0.4095	0.0608	0.5075
Chr4	5700001	8700000	0.0468	0.4403	0.0599	0.5416
Chr4	6000001	9000000	0.0459	0.4632	0.0573	0.5610
Chr4	6300001	9300000	0.0425	0.4884	0.0619	0.5860
Chr4	6600001	9600000	0.0435	0.5272	0.0591	0.6230
Chr4	6900001	9900000	0.0406	0.5453	0.0573	0.6360
Chr4	7200001	10200000	0.0387	0.5702	0.0573	0.6597
Chr4	7500001	10500000	0.0347	0.5888	0.0664	0.6827
Chr4	7800001	10800000	0.0347	0.5855	0.0723	0.6850
Chr4	8100001	11100000	0.0337	0.5565	0.0738	0.6576
Chr4	8400001	11400000	0.0312	0.5551	0.0721	0.6532
Chr4	8700001	11700000	0.0299	0.5379	0.0674	0.6299
Chr4	9000001	12000000	0.0297	0.5589	0.0674	0.6501
Chr4	9300001	12300000	0.0342	0.5464	0.0596	0.6359
Chr4	9600001	12600000	0.0334	0.4942	0.0616	0.5852
Chr4	9900001	12900000	0.0342	0.4681	0.0615	0.5600
Chr4	10200001	13200000	0.0415	0.4482	0.0615	0.5474
Chr4	10500001	13500000	0.0388	0.4332	0.0510	0.5196
Chr4	10800001	13800000	0.0470	0.4122	0.0443	0.5003
Chr4	11100001	14100000	0.0565	0.3937	0.0395	0.4863
Chr4	11400001	14400000	0.0643	0.3766	0.0376	0.4752
Chr4	11700001	14700000	0.0653	0.3439	0.0354	0.4416
Chr4	12000001	15000000	0.0677	0.3093	0.0375	0.4121
Chr4	12300001	15300000	0.0684	0.2636	0.0394	0.3691
Chr4	12600001	15600000	0.0685	0.2547	0.0335	0.3544
Chr4	12900001	15900000	0.0646	0.2480	0.0390	0.3491
Chr4	13200001	16200000	0.0574	0.2439	0.0444	0.3412
Chr4	13500001	16500000	0.0600	0.2294	0.0450	0.3304
