Chr	From	To	Copia	Gypsy	unknown	Total_LTR
Chr1	17400001	20400000	0.0557	0.2620	0.0568	0.3695
Chr1	17700001	20700000	0.0503	0.2336	0.0556	0.3349
Chr1	18000001	21000000	0.0486	0.2256	0.0538	0.3232
Chr1	18300001	21300000	0.0411	0.2334	0.0543	0.3237
Chr1	18600001	21600000	0.0385	0.2316	0.0534	0.3191
Chr1	18900001	21900000	0.0366	0.2668	0.0512	0.3506
Chr1	19200001	22200000	0.0362	0.2812	0.0514	0.3651
Chr1	19500001	22500000	0.0302	0.2789	0.0528	0.3579
Chr1	19800001	22800000	0.0308	0.2805	0.0551	0.3621
Chr1	20100001	23100000	0.0336	0.2603	0.0420	0.3327
Chr1	20400001	23400000	0.0342	0.2332	0.0419	0.3064
Chr1	20700001	23700000	0.0331	0.2301	0.0445	0.3042
Chr1	21000001	24000000	0.0299	0.2353	0.0479	0.3095
Chr1	21300001	24300000	0.0276	0.2205	0.0457	0.2903
Chr1	21600001	24600000	0.0260	0.2205	0.0447	0.2876
Chr1	21900001	24900000	0.0289	0.1774	0.0468	0.2493
Chr1	22200001	25200000	0.0314	0.1554	0.0453	0.2278
Chr1	22500001	25500000	0.0342	0.1501	0.0426	0.2235
Chr1	22800001	25800000	0.0344	0.1331	0.0416	0.2059
Chr1	23100001	26100000	0.0310	0.1294	0.0424	0.1994
Chr1	23400001	26400000	0.0319	0.1367	0.0428	0.2082
Chr1	23700001	26700000	0.0330	0.1342	0.0404	0.2050
Chr1	24000001	27000000	0.0370	0.1265	0.0378	0.1983
Chr1	24300001	27300000	0.0365	0.1183	0.0370	0.1889
Chr1	24600001	27600000	0.0370	0.1149	0.0372	0.1860
Chr1	24900001	27900000	0.0309	0.1208	0.0341	0.1829
Chr1	25200001	28200000	0.0264	0.1223	0.0366	0.1827
Chr1	25500001	28500000	0.0220	0.1376	0.0382	0.1952
Chr1	25800001	28800000	0.0192	0.1391	0.0380	0.1936
Chr1	26100001	29100000	0.0231	0.1275	0.0384	0.1866
Chr1	26400001	29400000	0.0224	0.1201	0.0378	0.1777
Chr1	26700001	29700000	0.0225	0.1169	0.0393	0.1758
Chr1	27000001	30000000	0.0207	0.1077	0.0400	0.1659
Chr1	27300001	30300000	0.0238	0.1120	0.0389	0.1725
Chr1	27600001	30600000	0.0249	0.1337	0.0451	0.2018
Chr1	27900001	30900000	0.0251	0.1216	0.0454	0.1899
Chr1	28200001	31200000	0.0260	0.1189	0.0447	0.1873
Chr1	28500001	31500000	0.0276	0.0960	0.0441	0.1654
Chr1	28800001	31800000	0.0293	0.1093	0.0455	0.1812
Chr1	29100001	32100000	0.0254	0.1043	0.0462	0.1728
Chr1	29400001	32400000	0.0248	0.0988	0.0466	0.1673
Chr1	29700001	32700000	0.0254	0.1179	0.0459	0.1868
Chr1	30000001	33000000	0.0237	0.1176	0.0437	0.1827
Chr1	30300001	33300000	0.0226	0.1133	0.0431	0.1766
Chr1	30600001	33600000	0.0209	0.0869	0.0366	0.1420
Chr1	30900001	33900000	0.0204	0.0988	0.0368	0.1540
Chr1	31200001	34200000	0.0192	0.1087	0.0365	0.1625
Chr1	31500001	34500000	0.0183	0.1157	0.0358	0.1678
Chr1	31800001	34800000	0.0217	0.1143	0.0373	0.1713
Chr1	32100001	35100000	0.0215	0.1261	0.0373	0.1828
Chr1	32400001	35400000	0.0207	0.1241	0.0371	0.1798
Chr1	32700001	35700000	0.0197	0.1129	0.0356	0.1658
Chr1	33000001	36000000	0.0233	0.1166	0.0377	0.1752
Chr1	33300001	36300000	0.0269	0.1157	0.0394	0.1796
Chr1	33600001	36600000	0.0277	0.1155	0.0410	0.1814
Chr1	33900001	36900000	0.0312	0.1136	0.0425	0.1843
Chr1	34200001	37200000	0.0315	0.1107	0.0412	0.1804
Chr1	34500001	37500000	0.0317	0.1106	0.0411	0.1804
Chr1	34800001	37800000	0.0266	0.1017	0.0412	0.1664
Chr1	35100001	38100000	0.0263	0.0947	0.0413	0.1593
Chr1	35400001	38400000	0.0262	0.1005	0.0408	0.1647
Chr1	35700001	38700000	0.0270	0.0930	0.0393	0.1566
Chr1	36000001	39000000	0.0236	0.0978	0.0376	0.1561
Chr1	36300001	39300000	0.0194	0.1019	0.0374	0.1558
Chr1	36600001	39600000	0.0171	0.1149	0.0353	0.1646
Chr1	36900001	39900000	0.0133	0.1099	0.0335	0.1542
Chr1	37200001	40200000	0.0138	0.1068	0.0338	0.1519
Chr1	37500001	40500000	0.0128	0.1210	0.0320	0.1636
Chr1	37800001	40800000	0.0138	0.1146	0.0291	0.1558
Chr1	38100001	41100000	0.0141	0.1059	0.0302	0.1483
Chr1	38400001	41400000	0.0146	0.0967	0.0310	0.1403
Chr1	38700001	41700000	0.0136	0.1040	0.0325	0.1479
Chr1	39000001	42000000	0.0152	0.0973	0.0345	0.1448
Chr1	39300001	42300000	0.0160	0.1019	0.0348	0.1503
Chr1	39600001	42600000	0.0199	0.1016	0.0373	0.1560
Chr1	39900001	42900000	0.0227	0.1011	0.0363	0.1575
Chr1	40200001	43200000	0.0251	0.1087	0.0350	0.1662
Chr1	40500001	43500000	0.0249	0.0906	0.0348	0.1476
Chr1	40800001	43788308	0.0263	0.0939	0.0368	0.1544
Chr2	1	3000000	0.0268	0.0988	0.0322	0.1550
Chr2	300001	3300000	0.0288	0.1018	0.0331	0.1610
Chr2	600001	3600000	0.0337	0.1033	0.0319	0.1659
Chr2	900001	3900000	0.0353	0.1170	0.0318	0.1809
Chr2	1200001	4200000	0.0335	0.1188	0.0337	0.1828
Chr2	1500001	4500000	0.0334	0.1204	0.0351	0.1858
Chr2	1800001	4800000	0.0351	0.1204	0.0356	0.1880
Chr2	2100001	5100000	0.0376	0.1218	0.0347	0.1913
Chr2	2400001	5400000	0.0362	0.1041	0.0325	0.1706
Chr2	2700001	5700000	0.0326	0.0967	0.0329	0.1600
Chr2	3000001	6000000	0.0325	0.1026	0.0332	0.1659
Chr2	3300001	6300000	0.0282	0.1087	0.0332	0.1677
Chr2	3600001	6600000	0.0263	0.1077	0.0330	0.1647
Chr2	3900001	6900000	0.0231	0.0916	0.0336	0.1461
Chr2	4200001	7200000	0.0239	0.0944	0.0346	0.1502
Chr2	4500001	7500000	0.0282	0.1174	0.0325	0.1754
Chr2	4800001	7800000	0.0294	0.1174	0.0355	0.1797
Chr2	5100001	8100000	0.0289	0.1623	0.0371	0.2256
Chr2	5400001	8400000	0.0280	0.1740	0.0407	0.2399
Chr2	5700001	8700000	0.0344	0.1670	0.0423	0.2408
Chr2	6000001	9000000	0.0351	0.1595	0.0438	0.2355
Chr2	6300001	9300000	0.0362	0.1648	0.0440	0.2423
Chr2	6600001	9600000	0.0371	0.1705	0.0435	0.2483
Chr2	6900001	9900000	0.0392	0.1945	0.0425	0.2735
Chr2	7200001	10200000	0.0401	0.1987	0.0457	0.2821
Chr2	7500001	10500000	0.0381	0.1950	0.0491	0.2801
Chr2	7800001	10800000	0.0373	0.2158	0.0507	0.3015
Chr2	8100001	11100000	0.0360	0.1984	0.0496	0.2815
Chr2	8400001	11400000	0.0354	0.1979	0.0483	0.2792
Chr2	8700001	11700000	0.0307	0.2137	0.0487	0.2905
Chr2	9000001	12000000	0.0327	0.2301	0.0526	0.3130
Chr2	9300001	12300000	0.0355	0.2258	0.0528	0.3115
Chr2	9600001	12600000	0.0373	0.2362	0.0561	0.3273
Chr2	9900001	12900000	0.0398	0.2332	0.0603	0.3307
Chr2	10200001	13200000	0.0436	0.2454	0.0563	0.3422
Chr2	10500001	13500000	0.0409	0.2537	0.0568	0.3478
Chr2	10800001	13800000	0.0411	0.2633	0.0541	0.3550
Chr2	11100001	14100000	0.0404	0.2868	0.0533	0.3774
Chr2	11400001	14400000	0.0377	0.3161	0.0548	0.4058
Chr2	11700001	14700000	0.0380	0.3398	0.0604	0.4349
Chr2	12000001	15000000	0.0382	0.3773	0.0578	0.4700
Chr2	12300001	15300000	0.0418	0.4023	0.0595	0.5003
Chr2	12600001	15600000	0.0394	0.4227	0.0626	0.5213
Chr2	12900001	15900000	0.0360	0.4367	0.0664	0.5356
Chr2	13200001	16200000	0.0320	0.4765	0.0739	0.5793
Chr2	13500001	16500000	0.0341	0.4726	0.0728	0.5766
Chr2	13800001	16800000	0.0353	0.4537	0.0732	0.5593
Chr2	14100001	17100000	0.0385	0.4036	0.0742	0.5131
Chr2	14400001	17400000	0.0406	0.3696	0.0722	0.4795
Chr2	14700001	17700000	0.0411	0.3393	0.0638	0.4420
Chr2	15000001	18000000	0.0421	0.3262	0.0644	0.4302
Chr2	15300001	18300000	0.0363	0.3096	0.0618	0.4053
Chr2	15600001	18600000	0.0347	0.2775	0.0605	0.3705
Chr2	15900001	18900000	0.0342	0.2621	0.0541	0.3485
Chr2	16200001	19200000	0.0371	0.2320	0.0499	0.3164
Chr2	16500001	19500000	0.0373	0.2281	0.0537	0.3158
Chr2	16800001	19800000	0.0357	0.2248	0.0537	0.3101
Chr2	17100001	20100000	0.0341	0.2287	0.0540	0.3128
Chr2	17400001	20400000	0.0339	0.2125	0.0558	0.2974
Chr2	17700001	20700000	0.0327	0.2084	0.0566	0.2923
Chr2	18000001	21000000	0.0303	0.1848	0.0589	0.2686
Chr2	18300001	21300000	0.0341	0.1738	0.0627	0.2645
Chr2	18600001	21600000	0.0412	0.1796	0.0590	0.2738
Chr2	18900001	21900000	0.0433	0.1935	0.0583	0.2894
Chr2	19200001	22200000	0.0445	0.1628	0.0553	0.2572
Chr2	19500001	22500000	0.0424	0.1527	0.0505	0.2413
Chr2	19800001	22800000	0.0404	0.1541	0.0489	0.2396
Chr2	20100001	23100000	0.0405	0.1632	0.0482	0.2480
Chr2	20400001	23400000	0.0427	0.1687	0.0459	0.2541
Chr2	20700001	23700000	0.0427	0.1594	0.0459	0.2453
Chr2	21000001	24000000	0.0415	0.1685	0.0429	0.2502
Chr2	21300001	24300000	0.0378	0.1680	0.0383	0.2421
Chr2	21600001	24600000	0.0301	0.1566	0.0363	0.2209
Chr2	21900001	24900000	0.0265	0.1350	0.0365	0.1956
Chr2	22200001	25200000	0.0220	0.1369	0.0384	0.1949
Chr2	22500001	25500000	0.0248	0.1305	0.0402	0.1927
Chr2	22800001	25800000	0.0281	0.1603	0.0406	0.2258
Chr2	23100001	26100000	0.0254	0.2141	0.0451	0.2812
Chr2	23400001	26400000	0.0218	0.2241	0.0441	0.2866
Chr2	23700001	26700000	0.0207	0.2301	0.0448	0.2926
Chr2	24000001	27000000	0.0198	0.2238	0.0409	0.2813
Chr2	24300001	27300000	0.0182	0.2199	0.0433	0.2783
Chr2	24600001	27600000	0.0177	0.2224	0.0430	0.2802
Chr2	24900001	27900000	0.0200	0.2227	0.0463	0.2851
Chr2	25200001	28200000	0.0215	0.2247	0.0444	0.2872
Chr2	25500001	28500000	0.0197	0.2361	0.0427	0.2951
Chr2	25800001	28800000	0.0164	0.1986	0.0430	0.2550
Chr2	26100001	29100000	0.0201	0.1261	0.0402	0.1833
Chr2	26400001	29400000	0.0203	0.1184	0.0426	0.1777
Chr2	26700001	29700000	0.0246	0.1167	0.0418	0.1793
Chr2	27000001	30000000	0.0278	0.1099	0.0419	0.1758
Chr2	27300001	30300000	0.0284	0.1167	0.0416	0.1830
Chr2	27600001	30600000	0.0295	0.1144	0.0429	0.1825
Chr2	27900001	30900000	0.0275	0.1132	0.0420	0.1795
Chr2	28200001	31200000	0.0247	0.1270	0.0399	0.1885
Chr2	28500001	31500000	0.0241	0.1183	0.0391	0.1784
Chr2	28800001	31800000	0.0260	0.1170	0.0376	0.1776
Chr2	29100001	32100000	0.0240	0.1282	0.0337	0.1834
Chr2	29400001	32400000	0.0244	0.1263	0.0332	0.1813
Chr2	29700001	32700000	0.0238	0.1237	0.0338	0.1788
Chr2	30000001	33000000	0.0218	0.1142	0.0353	0.1688
Chr2	30300001	33300000	0.0208	0.1069	0.0330	0.1581
Chr2	30600001	33600000	0.0235	0.1154	0.0319	0.1687
Chr2	30900001	33900000	0.0281	0.1077	0.0316	0.1653
Chr2	31200001	34200000	0.0293	0.0973	0.0350	0.1592
Chr2	31500001	34500000	0.0300	0.1020	0.0348	0.1645
Chr2	31800001	34800000	0.0308	0.0999	0.0351	0.1636
Chr2	32100001	35100000	0.0298	0.1059	0.0373	0.1708
Chr2	32400001	35400000	0.0296	0.1061	0.0370	0.1711
Chr2	32700001	35700000	0.0292	0.1018	0.0362	0.1654
Chr2	33000001	36000000	0.0284	0.0995	0.0370	0.1629
Chr2	33300001	36300000	0.0286	0.1070	0.0386	0.1720
Chr2	33600001	36600000	0.0241	0.1041	0.0401	0.1656
Chr2	33900001	36900000	0.0209	0.1108	0.0376	0.1667
Chr2	34200001	37200000	0.0204	0.1013	0.0343	0.1535
Chr2	34500001	37500000	0.0177	0.0924	0.0323	0.1399
Chr2	34800001	37679110	0.0164	0.1051	0.0329	0.1520
Chr3	1	3000000	0.0143	0.1208	0.0520	0.1850
Chr3	300001	3300000	0.0157	0.1137	0.0477	0.1747
Chr3	600001	3600000	0.0182	0.1161	0.0440	0.1755
Chr3	900001	3900000	0.0197	0.1161	0.0434	0.1764
Chr3	1200001	4200000	0.0205	0.1155	0.0439	0.1769
Chr3	1500001	4500000	0.0202	0.1000	0.0449	0.1623
Chr3	1800001	4800000	0.0197	0.0906	0.0466	0.1538
Chr3	2100001	5100000	0.0163	0.0936	0.0481	0.1548
Chr3	2400001	5400000	0.0175	0.0789	0.0421	0.1353
Chr3	2700001	5700000	0.0175	0.0731	0.0420	0.1296
Chr3	3000001	6000000	0.0181	0.0635	0.0408	0.1195
Chr3	3300001	6300000	0.0187	0.0573	0.0398	0.1130
Chr3	3600001	6600000	0.0166	0.0514	0.0397	0.1051
Chr3	3900001	6900000	0.0202	0.0487	0.0367	0.1031
Chr3	4200001	7200000	0.0188	0.0566	0.0348	0.1080
Chr3	4500001	7500000	0.0218	0.0728	0.0354	0.1273
Chr3	4800001	7800000	0.0244	0.0754	0.0345	0.1317
Chr3	5100001	8100000	0.0269	0.0828	0.0389	0.1461
Chr3	5400001	8400000	0.0273	0.0982	0.0362	0.1593
Chr3	5700001	8700000	0.0310	0.1131	0.0363	0.1779
Chr3	6000001	9000000	0.0306	0.1116	0.0379	0.1775
Chr3	6300001	9300000	0.0295	0.1462	0.0415	0.2147
Chr3	6600001	9600000	0.0334	0.1479	0.0433	0.2219
Chr3	6900001	9900000	0.0292	0.1467	0.0436	0.2170
Chr3	7200001	10200000	0.0344	0.1383	0.0449	0.2150
Chr3	7500001	10500000	0.0316	0.1224	0.0438	0.1956
Chr3	7800001	10800000	0.0282	0.1191	0.0431	0.1882
Chr3	8100001	11100000	0.0271	0.1029	0.0374	0.1653
Chr3	8400001	11400000	0.0285	0.0897	0.0415	0.1572
Chr3	8700001	11700000	0.0277	0.0872	0.0419	0.1543
Chr3	9000001	12000000	0.0323	0.0927	0.0428	0.1652
Chr3	9300001	12300000	0.0333	0.0590	0.0399	0.1297
Chr3	9600001	12600000	0.0321	0.0542	0.0372	0.1213
Chr3	9900001	12900000	0.0336	0.0682	0.0357	0.1351
Chr3	10200001	13200000	0.0346	0.0684	0.0353	0.1360
Chr3	10500001	13500000	0.0353	0.0745	0.0332	0.1407
Chr3	10800001	13800000	0.0348	0.1299	0.0382	0.2004
Chr3	11100001	14100000	0.0318	0.2016	0.0567	0.2866
Chr3	11400001	14400000	0.0332	0.2338	0.0538	0.3179
Chr3	11700001	14700000	0.0358	0.2242	0.0552	0.3125
Chr3	12000001	15000000	0.0332	0.2241	0.0564	0.3107
Chr3	12300001	15300000	0.0316	0.2413	0.0578	0.3274
Chr3	12600001	15600000	0.0335	0.2530	0.0604	0.3432
Chr3	12900001	15900000	0.0361	0.2434	0.0626	0.3384
Chr3	13200001	16200000	0.0350	0.2590	0.0623	0.3526
Chr3	13500001	16500000	0.0397	0.2599	0.0656	0.3611
Chr3	13800001	16800000	0.0457	0.2157	0.0678	0.3240
Chr3	14100001	17100000	0.0542	0.1580	0.0506	0.2586
Chr3	14400001	17400000	0.0520	0.1420	0.0518	0.2409
Chr3	14700001	17700000	0.0521	0.1621	0.0493	0.2587
Chr3	15000001	18000000	0.0575	0.1696	0.0513	0.2738
Chr3	15300001	18300000	0.0576	0.1654	0.0545	0.2724
Chr3	15600001	18600000	0.0598	0.1637	0.0586	0.2770
Chr3	15900001	18900000	0.0559	0.1690	0.0608	0.2807
Chr3	16200001	19200000	0.0588	0.1659	0.0606	0.2804
Chr3	16500001	19500000	0.0564	0.1861	0.0617	0.2996
Chr3	16800001	19800000	0.0598	0.1995	0.0583	0.3145
Chr3	17100001	20100000	0.0603	0.2494	0.0627	0.3684
Chr3	17400001	20400000	0.0629	0.2898	0.0656	0.4149
Chr3	17700001	20700000	0.0673	0.3258	0.0686	0.4565
Chr3	18000001	21000000	0.0671	0.3652	0.0667	0.4938
Chr3	18300001	21300000	0.0690	0.4163	0.0622	0.5431
Chr3	18600001	21600000	0.0715	0.4506	0.0680	0.5854
Chr3	18900001	21900000	0.0780	0.4906	0.0649	0.6285
Chr3	19200001	22200000	0.0789	0.4976	0.0657	0.6370
Chr3	19500001	22500000	0.0807	0.5009	0.0652	0.6410
Chr3	19800001	22800000	0.0753	0.4910	0.0646	0.6252
Chr3	20100001	23100000	0.0675	0.4524	0.0618	0.5768
Chr3	20400001	23400000	0.0669	0.4129	0.0567	0.5315
Chr3	20700001	23700000	0.0600	0.3908	0.0544	0.5021
Chr3	21000001	24000000	0.0544	0.3739	0.0554	0.4808
Chr3	21300001	24300000	0.0520	0.3264	0.0576	0.4332
Chr3	21600001	24600000	0.0436	0.3028	0.0459	0.3901
Chr3	21900001	24900000	0.0438	0.2798	0.0491	0.3696
Chr3	22200001	25200000	0.0380	0.2709	0.0528	0.3587
Chr3	22500001	25500000	0.0359	0.2907	0.0493	0.3737
Chr3	22800001	25800000	0.0341	0.2895	0.0488	0.3701
Chr3	23100001	26100000	0.0373	0.2753	0.0458	0.3560
Chr3	23400001	26400000	0.0357	0.2637	0.0469	0.3436
Chr3	23700001	26700000	0.0385	0.2353	0.0506	0.3216
Chr3	24000001	27000000	0.0371	0.2070	0.0480	0.2893
Chr3	24300001	27300000	0.0409	0.1931	0.0462	0.2773
Chr3	24600001	27600000	0.0421	0.1877	0.0513	0.2781
Chr3	24900001	27900000	0.0375	0.1724	0.0497	0.2575
Chr3	25200001	28200000	0.0405	0.1663	0.0466	0.2511
Chr3	25500001	28500000	0.0398	0.1250	0.0499	0.2124
Chr3	25800001	28800000	0.0430	0.1176	0.0488	0.2070
Chr3	26100001	29100000	0.0429	0.1175	0.0507	0.2087
Chr3	26400001	29400000	0.0420	0.1152	0.0521	0.2069
Chr3	26700001	29700000	0.0374	0.1100	0.0502	0.1951
Chr3	27000001	30000000	0.0370	0.1116	0.0486	0.1945
Chr3	27300001	30300000	0.0332	0.1231	0.0485	0.2019
Chr3	27600001	30600000	0.0332	0.1202	0.0415	0.1923
Chr3	27900001	30900000	0.0326	0.1088	0.0395	0.1782
Chr3	28200001	31200000	0.0270	0.1041	0.0403	0.1689
Chr3	28500001	31500000	0.0256	0.0956	0.0380	0.1568
Chr3	28800001	31800000	0.0241	0.0938	0.0374	0.1530
Chr3	29100001	32100000	0.0231	0.0946	0.0357	0.1511
Chr3	29400001	32400000	0.0229	0.1185	0.0344	0.1734
Chr3	29700001	32700000	0.0209	0.1323	0.0335	0.1845
Chr3	30000001	33000000	0.0210	0.1272	0.0343	0.1806
Chr3	30300001	33300000	0.0233	0.1218	0.0323	0.1751
Chr3	30600001	33600000	0.0214	0.1144	0.0335	0.1672
Chr3	30900001	33900000	0.0194	0.1176	0.0350	0.1699
Chr3	31200001	34200000	0.0216	0.1216	0.0331	0.1744
Chr3	31500001	34500000	0.0214	0.1255	0.0335	0.1783
Chr3	31800001	34800000	0.0198	0.1301	0.0352	0.1830
Chr3	32100001	35100000	0.0192	0.1298	0.0355	0.1824
Chr3	32400001	35400000	0.0181	0.1056	0.0357	0.1574
Chr3	32700001	35700000	0.0222	0.0913	0.0360	0.1473
Chr3	33000001	36000000	0.0216	0.0864	0.0346	0.1405
Chr3	33300001	36300000	0.0213	0.0806	0.0357	0.1352
Chr3	33600001	36600000	0.0230	0.0842	0.0350	0.1397
Chr3	33900001	36900000	0.0233	0.0894	0.0356	0.1460
Chr3	34200001	37200000	0.0230	0.0873	0.0376	0.1455
Chr3	34500001	37500000	0.0256	0.0833	0.0363	0.1425
Chr3	34800001	37800000	0.0292	0.0817	0.0343	0.1423
Chr3	35100001	38100000	0.0283	0.0718	0.0326	0.1300
Chr3	35400001	38400000	0.0301	0.0708	0.0319	0.1300
Chr3	35700001	38700000	0.0269	0.0734	0.0356	0.1328
Chr3	36000001	38713935	0.0292	0.0792	0.0373	0.1424
Chr4	1	3000000	0.0361	0.3379	0.0605	0.4318
Chr4	300001	3300000	0.0342	0.3704	0.0591	0.4605
Chr4	600001	3600000	0.0325	0.3750	0.0636	0.4675
Chr4	900001	3900000	0.0312	0.3963	0.0619	0.4859
Chr4	1200001	4200000	0.0312	0.3962	0.0675	0.4912
Chr4	1500001	4500000	0.0350	0.3885	0.0658	0.4871
Chr4	1800001	4800000	0.0322	0.4015	0.0716	0.5029
Chr4	2100001	5100000	0.0331	0.3944	0.0680	0.4930
Chr4	2400001	5400000	0.0319	0.3784	0.0679	0.4757
Chr4	2700001	5700000	0.0326	0.3758	0.0714	0.4766
Chr4	3000001	6000000	0.0406	0.3503	0.0667	0.4545
Chr4	3300001	6300000	0.0374	0.3205	0.0675	0.4226
Chr4	3600001	6600000	0.0361	0.3270	0.0697	0.4305
Chr4	3900001	6900000	0.0425	0.3043	0.0690	0.4133
Chr4	4200001	7200000	0.0443	0.3145	0.0622	0.4187
Chr4	4500001	7500000	0.0437	0.3438	0.0612	0.4462
Chr4	4800001	7800000	0.0416	0.3669	0.0539	0.4601
Chr4	5100001	8100000	0.0424	0.3999	0.0622	0.5006
Chr4	5400001	8400000	0.0423	0.4361	0.0675	0.5391
Chr4	5700001	8700000	0.0486	0.4438	0.0609	0.5470
Chr4	6000001	9000000	0.0419	0.4651	0.0605	0.5612
Chr4	6300001	9300000	0.0450	0.5031	0.0617	0.6034
Chr4	6600001	9600000	0.0450	0.5310	0.0581	0.6277
Chr4	6900001	9900000	0.0421	0.5609	0.0583	0.6542
Chr4	7200001	10200000	0.0396	0.5980	0.0606	0.6912
Chr4	7500001	10500000	0.0346	0.6037	0.0692	0.7004
Chr4	7800001	10800000	0.0341	0.5860	0.0841	0.6970
Chr4	8100001	11100000	0.0315	0.5643	0.0844	0.6747
Chr4	8400001	11400000	0.0305	0.5455	0.0790	0.6521
Chr4	8700001	11700000	0.0273	0.5513	0.0794	0.6552
Chr4	9000001	12000000	0.0305	0.5576	0.0803	0.6651
Chr4	9300001	12300000	0.0312	0.5320	0.0771	0.6376
Chr4	9600001	12600000	0.0320	0.4973	0.0764	0.6025
Chr4	9900001	12900000	0.0366	0.4676	0.0745	0.5761
Chr4	10200001	13200000	0.0365	0.4390	0.0722	0.5450
Chr4	10500001	13500000	0.0411	0.4072	0.0635	0.5091
Chr4	10800001	13800000	0.0527	0.3928	0.0522	0.4948
Chr4	11100001	14100000	0.0591	0.3818	0.0435	0.4815
Chr4	11400001	14400000	0.0651	0.3672	0.0425	0.4723
Chr4	11700001	14700000	0.0639	0.3323	0.0407	0.4346
Chr4	12000001	15000000	0.0704	0.2938	0.0392	0.4015
Chr4	12300001	15300000	0.0690	0.2659	0.0384	0.3709
Chr4	12600001	15600000	0.0684	0.2591	0.0374	0.3631
Chr4	12900001	15900000	0.0600	0.2440	0.0431	0.3449
Chr4	13200001	16200000	0.0586	0.2320	0.0490	0.3371
Chr4	13500001	16500000	0.0606	0.2295	0.0498	0.3372
Chr4	13800001	16800000	0.0548	0.2385	0.0537	0.3438
