AccID	Location	Exon	R900_Junc_Inclusive::Exclusive	Y58S_Junc_Inclusive::Exclusive	R900_Exp_Inclusive::Exclusive	Y58S_Exp_Inclusive::Exclusive	delta_PSI	P-Value	FDR	SplicingType
LOC_Os12g32536	Chr12:19635828-19635862	1	2::458	404::329	65::1047	494::676	-0.546811791921229	0	0	A5SS
LOC_Os12g32536	Chr12:19638761-19638788	5	26::1264	2594::0	425::1653	2439::2561	-0.97984496124031	0	0	A5SS
LOC_Os12g34900	Chr12:21248663-21248684	4	322::50	7::785	1094::1200	486::1219	0.856764159514027	0	0	A3SS
LOC_Os12g38180	Chr12:23443046-23444242	1	480::486	328::0	468::433	432::327	-0.503105590062112	0	0	A5SS
LOC_Os12g38180	Chr12:23444953-23445033	1-2	486::479	0::328	596::514	177::664	0.503626943005181	0	0	AltEnd
LOC_Os12g38440	Chr12:23599562-23599621	10	8607::334	6223::3312	3144::4235	2325::5811	0.309959435794233	0	0	Cassette
LOC_Os12g42550	Chr12:26426814-26426826	2	5181::422	5906::1327	4227::5767	5240::7440	0.108122519774573	0	0	A3SS
LOC_Os02g47420	Chr2:28958630-28958823	2	2615::0	398::395	700::1617	131::1476	0.498108448928121	5.01347382793356e-16	2.36817006788917e-14	Cassette
LOC_Os07g41370	Chr7:24793018-24793220	7-8	4765::9270	564::11887	2856::5967	581::5684	0.294202742284072	5.83551761293993e-16	2.73746143470465e-14	Cassette
LOC_Os02g47850	Chr2:29273310-29273419	10	722::4463	1::4549	419::4641	38::4273	0.139028050059873	6.79998600454139e-16	3.16804827417059e-14	Cassette
LOC_Os02g07210	Chr2:3707778-3707852	5	3167::1494	7068::2	1767::3081	3994::3466	-0.320249189230689	1.76477308556796e-15	8.16597722995462e-14	Cassette
LOC_Os02g38494	Chr2:23283382-23285375	6	183::0	417::165	48::8	231::1778	0.286943477399451	5.46103385988052e-15	2.50986164289914e-13	AltEnd
LOC_Os12g18729	Chr12:10824325-10826309	3	0::1196	243::1237	22::1356	257::1430	-0.164189189189189	5.77852848410898e-15	2.63795642610129e-13	A5SS
LOC_Os06g02240	Chr6:700807-700906	3-4	353::1061	0::1439	457::1524	16::1378	0.24964639321075	5.92395379539693e-15	2.68631558108599e-13	Cassette
LOC_Os04g39210	Chr4:23317019-23317108	5	229::670	1::729	283::964	40::766	0.253357611958493	6.19653018409634e-15	2.79131114650485e-13	A3SS
LOC_Os04g34440	Chr4:20855812-20858005	1	122::585	0::627	345::223	7::161	0.172560113154173	2.73251703284843e-14	1.22280137219967e-12	A5SS
LOC_Os04g39900	Chr4:23773095-23773175	before first	207::0	138::112	234::8	173::209	0.448	7.43374409915115e-14	3.30485799754419e-12	AltStart
LOC_Os08g14450	Chr8:8681837-8681988	9	2775::0	2443::12	3514::585	1382::490	0.00488798370672094	1.2577733963414e-13	5.55543807916505e-12	A5SS
LOC_Os08g13880	Chr8:8308148-8308228	2-3	1::235	122::158	9::93	91::28	-0.431476997578693	1.51555587110703e-13	6.65084582920647e-12	AltStart
LOC_Os04g33940	Chr4:20552627-20552638	4	0::259	172::187	39::238	185::333	-0.479108635097493	1.59506090820838e-13	6.954874549765e-12	A5SS
LOC_Os08g14460	Chr8:8681837-8681988	15	2775::0	2443::12	3514::585	1382::489	0.00488798370672094	1.77533360873531e-13	7.6916045902023e-12	A3SS
LOC_Os05g47530	Chr5:27225557-27225565	3	0::873	112::687	374::921	421::808	-0.14017521902378	2.18467732624326e-13	9.4051741601941e-12	A5SS
LOC_Os04g53496	Chr4:31859377-31859428	2	590::0	1349::0	652::433	1323::277	0	3.00359034877686e-13	1.28493217310567e-11	A5SS
LOC_Os09g10910	Chr9:5996289-5996325	2	30::100	477::87	346::2197	872::2529	-0.614975450081833	4.05422400541771e-13	1.7235519803032e-11	A3SS
LOC_Os07g37760	Chr7:22655086-22655175	before first	8764::4739	31686::7494	512::702	10759::6829	-0.159714171533038	5.16909225549774e-13	2.1838612125401e-11	Cassette
LOC_Os02g10400	Chr2:5471510-5471602	7-8	169::163	0::295	96::231	6::279	0.509036144578313	5.65891213026249e-13	2.37604446358305e-11	Cassette
LOC_Os12g18729	Chr12:10833093-10833127	5	2047::5	2468::7	2256::544	2474::1537	0.00039163565479361	1.02220654938676e-12	4.26567420179678e-11	A3SS
LOC_Os05g38580	Chr5:22630839-22630891	6	1::1003	414::601	6::492	213::427	-0.40688575746276	1.17931700354874e-12	4.89128918179177e-11	Cassette
LOC_Os08g01794	Chr8:477128-477843	3	3::867	93::509	6::1326	99::957	-0.151036773971818	1.66316241695104e-12	6.85626106672788e-11	Cassette_multi
LOC_Os05g28860	Chr5:16922300-16922354	5	239::104	1::298	295::397	28::269	0.693448521310101	2.26974082014665e-12	9.30046810761296e-11	A5SS
LOC_Os05g01240	Chr5:163416-163495	11	3072::4	2655::158	1406::1700	1357::1745	0.0548674022754285	2.50186129280452e-12	1.01902158764409e-10	Cassette
LOC_Os06g15410	Chr6:8756275-8756356	5	505::59	90::164	276::279	83::207	0.541059362260569	2.68177009286672e-12	1.08579762926663e-10	Cassette
LOC_Os10g24094	Chr10:12344157-12344174	1-2	1739::447	1023::1058	1557::787	709::845	0.304247661324508	3.03986494376177e-12	1.22350067144778e-10	Cassette
LOC_Os12g21930	Chr12:12351303-12351543	1-2	0::359	249::285	6::202	233::335	-0.466292134831461	3.1409094219098e-12	1.25595939696757e-10	Cassette
LOC_Os08g13910	Chr8:8308148-8308228	1-2	1::235	122::158	9::60	91::41	-0.431476997578693	3.15743982477879e-12	1.25595939696757e-10	AltStart
LOC_Os01g13660	Chr1:7653910-7654252	2	6132::19	5880::748	3414::20	3980::249	0.109765627797787	4.08703512239507e-12	1.61627981991461e-10	AltEnd
LOC_Os12g01200	Chr12:113363-113368	16	1282::5	982::2	1374::874	1064::1482	-0.00185359001171692	4.44342782954765e-12	1.747063358184e-10	A3SS
LOC_Os04g32690	Chr4:19696441-19696524	26	2905::2	2070::261	1530::841	1175::893	0.111281117473068	6.29426714550291e-12	2.46055201860407e-10	Cassette
LOC_Os06g19470	Chr6:11093566-11093691	10	399::1683	1::1504	297::1557	34::1286	0.190978199469587	8.69052969560760e-12	3.37788474225845e-10	Cassette
LOC_Os10g24094	Chr10:12342485-12342864	4-5	0::563	34::299	216::2723	607::1874	-0.102102102102102	1.11144743331715e-11	4.29549172808141e-10	MXE
LOC_Os01g16660	Chr1:9448594-9448681	5	349::2	245::227	216::12	291::233	0.475234197691825	1.23472405161674e-11	4.74496779610005e-10	MXE
LOC_Os02g12450	Chr2:6489243-6490637	before first	239::283	324::7	132::223	286::54	-0.520997557615955	1.48044533636398e-11	5.6572972909819e-10	A3SS
LOC_Os05g37160	Chr5:21712445-21712503	7	74::1263	0::1923	386::1540	155::2165	0.0553477935676889	1.52245169282069e-11	5.78531643271861e-10	A3SS
LOC_Os07g11290	Chr7:6233508-6233571	3	90::1425	0::2430	302::2031	175::2698	0.0594059405940594	1.810549170879e-11	6.84186414462165e-10	A3SS
LOC_Os07g04430	Chr7:1963838-1963918	3-4	53::127	0::383	47::306	355::811	0.294444444444444	3.02295670925391e-11	1.13603047162128e-09	AltStart
LOC_Os10g07080	Chr10:3729725-3729773	1-2	75::62	3::508	364::506	151::545	0.541574413987173	3.11220803742076e-11	1.16314500387561e-09	Cassette
LOC_Os04g39210	Chr4:23316629-23316673	3	606::1	388::92	744::988	527::772	0.190019220208677	3.3649127395296e-11	1.25071783903171e-09	A3SS
LOC_Os11g09710	Chr11:5183243-5183292	4	2948::20	7012::13	2730::738	6261::5257	-0.00488853735898154	3.66481622038755e-11	1.35478695277588e-09	A3SS
LOC_Os10g27274	Chr10:14397438-14397468	2	569::15	354::19	533::316	592::918	0.0253309872102865	4.0820260617449e-11	1.50086169037777e-09	A5SS
LOC_Os05g39140	Chr5:22959041-22960400	2	535::0	361::84	90::6	306::434	0.18876404494382	4.93788300477235e-11	1.80577850529363e-09	A5SS
LOC_Os12g20410	Chr12:11916268-11916277	3	1283::53	3569::7	845::1112	2100::2583	-0.0377142584590462	5.88291568800536e-11	2.13987125720922e-09	A5SS
LOC_Os08g40580	Chr8:25688005-25688059	8	3149::138	3242::2	3348::3628	3179::3414	-0.0413670488345337	6.79914067613111e-11	2.45998696165127e-09	A5SS
LOC_Os04g53440	Chr4:31822193-31822281	3	0::3038	263::3477	866::3678	964::4262	-0.0703208556149733	1.18729099495882e-10	4.2729911892645e-09	A3SS
LOC_Os02g42134	Chr2:25338732-25339406	18	47::413	0::378	24::511	163::454	0.101952277657267	1.31722965871963e-10	4.71568217821627e-09	A5SS
LOC_Os01g55090	Chr1:31674561-31675466	2-3	408::746	572::141	322::1491	457::975	-0.44869117965197	1.35275040410957e-10	4.81749122971377e-09	Cassette
LOC_Os10g24094	Chr10:12343632-12343726	4	1919::542	1552::66	1841::1425	1538::1131	-0.179741709333643	2.18630016313954e-10	7.74542380712248e-09	Cassette
LOC_Os03g58070	Chr3:33063813-33063848	2-3	664::23925	0::16356	563::26336	197::20639	0.0270033957583521	2.72331043289217e-10	9.59790547385106e-09	Cassette
LOC_Os08g14880	Chr8:8970179-8970341	9	75::10	1204::4	3781::1173	861::883	-0.114335800545384	2.99988949261896e-10	1.05181692416465e-08	Cassette_multi
LOC_Os07g41720	Chr7:24999786-24999917	2	0::767	71::489	69::860	272::852	-0.126785714285714	3.99696489466611e-10	1.39422334428302e-08	A3SS
LOC_Os03g36419	Chr3:20182962-20183005	7	1033::95	313::339	726::890	417::836	0.43571879215072	4.6083007098984e-10	1.59926844024127e-08	Cassette
LOC_Os10g25300	Chr10:13083492-13083572	1-2	72::309	0::519	73::411	236::919	0.188976377952756	4.94489822765804e-10	1.70737044388477e-08	AltStart
LOC_Os06g06040	Chr6:2778282-2778434	3	1093::0	434::96	440::919	148::553	0.181132075471698	5.47266480421452e-10	1.88005383829632e-08	Cassette
LOC_Os01g57490	Chr1:33220635-33220845	6	123::84	292::0	229::343	471::273	-0.405797101449275	5.89366473394521e-10	2.01036411820207e-08	Cassette_multi
LOC_Os04g02354	Chr4:835890-835960	1-2	196::1902	51::2634	218::1393	105::1696	0.0748598028856519	5.91109708380496e-10	2.01036411820207e-08	Cassette
LOC_Os09g35960	Chr9:20718833-20718882	3	2403::89	3061::3	1152::993	1464::1169	-0.0347351734427452	6.15081137009053e-10	2.08148352932118e-08	Cassette
LOC_Os07g04350	Chr7:1929141-1929193	2	2::9113	416::13503	34::6270	362::9049	-0.0296670823111113	8.09597534467579e-10	2.72617942051905e-08	Cassette
LOC_Os01g58444	Chr1:33784694-33784759	5	3646::1610	3988::570	1956::1214	2060::971	-0.181289172269681	9.41142051803142e-10	3.15352129870196e-08	Cassette
LOC_Os01g61860	Chr1:35793409-35793518	1	631::0	567::0	406::78	367::308	0	1.3988741650743e-09	4.66428532884086e-08	A5SS
LOC_Os01g16060	Chr1:9051120-9051168	before first	102::45	441::10	369::502	458::477	-0.283949499977375	1.70442412506516e-09	5.65536238960645e-08	Cassette
LOC_Os05g41080	Chr5:24068446-24068466	6	0::1700	274::2411	260::2189	534::3332	-0.102048417132216	1.84694593310564e-09	6.09850788203134e-08	A3SS
