AccID	Location	Exon	R900_Junc_Inclusive::Exclusive	Y58S_Junc_Inclusive::Exclusive	R900_Exp_Inclusive::Exclusive	Y58S_Exp_Inclusive::Exclusive	delta_PSI	P-Value	FDR	SplicingType
LOC_Os05g01600	Chr5:356125-356136	2	12552::513	990::8274	10149::14349	4027::10196	0.853869502626366	0.0	0.0	A3SS
LOC_Os05g06510	Chr5:3349723-3349729	11	0::138	273::0	82::213	362::447	-1.0	0.0	0.0	A3SS
LOC_Os05g32760	Chr5:19180227-19180336	1-2	0::2077	132::1913	63::1287	138::1448	-0.06454767726161369	0.0	0.0	Cassette
LOC_Os05g33020	Chr5:19347081-19347093	12	0::916	237::203	358::880	574::706	-0.5386363636363637	0.0	0.0	A3SS
LOC_Os05g41240	Chr5:24156554-24156624	2	813::175	54::410	489::771	108::642	0.7066981311864792	0.0	0.0	Cassette
LOC_Os05g44320	Chr5:25789116-25789149	8	1::552	520::0	905::958	1335::702	-0.9981916817359855	0.0	0.0	A3SS
LOC_Os05g46360	Chr5:26870221-26870242	7	1672::30	816::662	1825::352	1023::409	0.4302762490678005	0.0	0.0	A3SS
LOC_Os06g01810	Chr6:467198-467226	3	194::99	67::368	620::428	528::615	0.5080930524498842	0.0	0.0	A3SS
LOC_Os06g05660	Chr6:2560533-2560548	5	7725::0	2562::3839	6646::7028	2927::6103	0.599875058566297	0.0	0.0	A5SS
LOC_Os06g11500	Chr6:6089129-6089150	19	113::0	4::68	133::310	24::661	0.9444444444444444	0.0	0.0	A5SS
LOC_Os06g15779	Chr6:8964148-8964689	1	535::29	235::599	288::19	54::537	0.6642017801548304	0.0	0.0	AltStart
LOC_Os06g17950	Chr6:10437545-10437590	4	0::317	417::8	66::480	445::131	-0.9811764705882353	0.0	0.0	A3SS
LOC_Os07g01920	Chr7:561877-561883	2	446::0	0::278	452::1260	249::2315	1.0	0.0	0.0	A3SS
LOC_Os07g04430	Chr7:1963653-1963658	3-4	1::126	385::0	41::258	274::624	-0.9921259842519685	0.0	0.0	A5SS
LOC_Os07g10520	Chr7:5667052-5667077	14	1810::0	1649::343	1865::1837	1754::1846	0.17218875502008035	0.0	0.0	A5SS
LOC_Os07g10810	Chr7:5878277-5878354	2	230::1	1::109	333::405	39::231	0.9865800865800867	0.0	0.0	A5SS
LOC_Os07g11770	Chr7:6504642-6504722	2-3	364::0	173::167	268::6	134::37	0.4911764705882353	0.0	0.0	AltEnd
LOC_Os07g16030	Chr7:9349092-9349136	4	119::2	128::313	196::28	105::61	0.6932216412735894	0.0	0.0	A3SS
LOC_Os07g37760	Chr7:22657689-22657778	before first	20274::31	28373::12	827::1271	1215::3756	-0.0010814640821633636	0.0	0.0	Cassette
LOC_Os07g37760	Chr7:22655714-22655777	before first	983::0	8727::1	496::843	6014::4119	1.7178654186056352E-4	0.0	0.0	A5SS
LOC_Os07g37760	Chr7:22655230-22655381	before first	3214::0	23708::1	234::1195	11026::6808	6.325844236632072E-5	0.0	0.0	Cassette
LOC_Os07g37790	Chr7:22663555-22663571	11	0::2625	539::2449	168::571	228::699	-0.1811134994264331	0.0	0.0	A3SS
LOC_Os07g41360	Chr7:24773727-24773861	1-2	298::2481	0::2965	371::2707	57::2640	0.10723281756027347	0.0	0.0	Cassette
LOC_Os07g46450	Chr7:27718737-27718744	13	29::45	0::1216	157::845	591::1033	0.3918918918918919	0.0	0.0	A5SS
LOC_Os08g04090	Chr8:1989077-1989146	3	0::407	1391::0	36::454	1387::1172	-1.0	0.0	0.0	A5SS
LOC_Os08g04830	Chr8:2428400-2428576	3	110::262	714::207	78::280	551::268	-0.4795453749430843	0.0	0.0	Cassette
LOC_Os08g07850	Chr8:4415118-4415191	3	60::18	606::6	45::397	655::751	-0.21293224015342493	0.0	0.0	A3SS
LOC_Os08g12430	Chr8:7347362-7347386	3	0::801	289::2	454::936	1210::1017	-0.993127147766323	0.0	0.0	A5SS
LOC_Os08g17080	Chr8:10456194-10456253	2	297::59	72::318	324::265	181::326	0.6496542783059637	0.0	0.0	A5SS
LOC_Os08g19105	Chr8:11402339-11402421	2	62::772	776::424	3407::3820	2296::1378	-0.572326139088729	0.0	0.0	A5SS
LOC_Os08g21541	Chr8:12830882-12831967	1	449::138	468::0	354::284	446::8	-0.23409669211195927	0.0	0.0	AltStart
LOC_Os08g21590	Chr8:12871575-12871969	2	341::0	0::440	524::239	6::489	1.0	0.0	0.0	Cassette
LOC_Os08g21590	Chr8:12871400-12871499	3	0::338	382::61	19::343	539::500	-0.8623024830699775	0.0	0.0	A3SS
LOC_Os08g38990	Chr8:24649227-24649367	3	101::56	706::0	182::364	311::383	-0.356687898089172	0.0	0.0	Cassette
LOC_Os08g38990	Chr8:24648814-24648840	4	247::0	0::398	432::375	55::407	1.0	0.0	0.0	A3SS
LOC_Os08g38990	Chr8:24649441-24649526	2	152::140	396::0	233::358	324::344	-0.4794520547945206	0.0	0.0	Cassette_multi
LOC_Os08g39120	Chr8:24712698-24712705	1	177::0	0::80	126::61	21::14	1.0	0.0	0.0	A5SS
LOC_Os09g10710	Chr9:5835347-5835381	12	8::1362	1222::0	98::1619	1201::1405	-0.9941648431801605	0.0	0.0	A3SS
LOC_Os09g10720	Chr9:5848833-5848847	7	74::3	0::240	1518::1757	1209::1558	0.961038961038961	0.0	0.0	A3SS
LOC_Os09g17770	Chr9:10872696-10872789	9	0::892	2234::1	42::441	1683::394	-0.9995525727069351	0.0	0.0	A3SS
LOC_Os09g29950	Chr9:18224845-18224902	13	22::190	3::618	363::384	83::765	0.09894266703126425	0.0	0.0	A3SS
LOC_Os09g33740	Chr9:19923271-19923358	1-2	275::281	130::825	175::517	116::994	0.3584786620965008	0.0	0.0	Cassette
LOC_Os09g36180	Chr9:20858458-20858511	8	315::0	0::284	282::184	18::191	1.0	0.0	0.0	A5SS
LOC_Os09g36900	Chr9:21279483-21279492	4	1970::423	1::3630	2118::2783	1102::3733	0.8229590275409677	0.0	0.0	A3SS
LOC_Os10g22730	Chr10:11811916-11811932	3	99::1	0::629	107::121	43::625	0.9900990099009901	0.0	0.0	A3SS
LOC_Os10g24020	Chr10:12310332-12310457	1	102::184	150::56	11::158	271::151	-0.3683226495726495	0.0	0.0	A5SS
LOC_Os10g24094	Chr10:12344014-12344067	2	347::384	596::105	894::1240	1193::1274	-0.3757351479649701	0.0	0.0	A5SS
LOC_Os10g25300	Chr10:13082716-13082759	4	71::311	0::795	101::493	533::1448	0.18586387434554974	0.0	0.0	A3SS
LOC_Os10g25300	Chr10:13082793-13082968	3	1::309	1355::0	6::529	937::1619	-0.9967741935483871	0.0	0.0	Cassette_multi
LOC_Os10g27300	Chr10:14403879-14404003	2-3	97::40	2::163	61::172	20::186	0.6959079849590799	0.0	0.0	Cassette
LOC_Os10g29530	Chr10:15339692-15339707	4	0::513	897::1	632::1198	1053::1261	-0.9988864142538976	0.0	0.0	A3SS
LOC_Os10g30550	Chr10:15886341-15886404	11-12	1::325	345::66	10::282	193::278	-0.8363485737315839	0.0	0.0	Cassette
LOC_Os10g30951	Chr10:16154495-16154562	8	36::367	991::46	458::871	1092::643	-0.8663326257885139	0.0	0.0	Cassette
LOC_Os10g31864	Chr10:16716322-16716328	50	372::441	0::843	340::852	179::902	0.4575645756457565	0.0	0.0	A5SS
LOC_Os11g04520	Chr11:1895207-1895240	2	1::84	626::0	184::494	659::736	-0.9882352941176471	0.0	0.0	A5SS
LOC_Os11g04520	Chr11:1895245-1895353	3	45::40	0::626	299::797	33::916	0.5294117647058824	0.0	0.0	A3SS
LOC_Os11g06390	Chr11:3079037-3079051	1	146::9	0::11725	210::15	1709::4693	0.9419354838709677	0.0	0.0	A5SS
LOC_Os11g06390	Chr11:3079554-3079562	2	120::35	10868::854	3172::14234	6657::16223	-0.15295820457716158	0.0	0.0	A3SS
LOC_Os11g06740	Chr11:3292999-3293058	6	430::351	0::773	513::1041	51::914	0.5505761843790012	0.0	0.0	A5SS
LOC_Os11g08590	Chr11:4559738-4559781	9-10	466::0	10::262	441::796	62::345	0.9632352941176471	0.0	0.0	A5SS
LOC_Os11g17080	Chr11:9476968-9476976	8-9	3::588	147::174	17::637	318::717	-0.45286778310166514	0.0	0.0	Cassette
LOC_Os11g17080	Chr11:9476878-9476914	8	0::591	13::199	55::646	437::686	-0.06132075471698113	0.0	0.0	A5SS
LOC_Os11g20490	Chr11:11873310-11873368	1	474::520	983::0	636::786	1083::733	-0.5231388329979879	0.0	0.0	A5SS
LOC_Os11g31630	Chr11:18494869-18495441	6	0::122	74::0	426::938	922::1100	-1.0	0.0	0.0	MXE
LOC_Os11g31630	Chr11:18494493-18494647	6	648::0	25::59	782::536	1002::852	0.7023809523809523	0.0	0.0	Cassette_multi
LOC_Os11g31770	Chr11:18638523-18638580	5	116::479	1233::0	164::517	1535::1653	-0.8050420168067227	0.0	0.0	A5SS
LOC_Os12g01060	Chr12:42479-42494	7	0::93	108::0	14::54	51::95	-1.0	0.0	0.0	A5SS
LOC_Os12g01060	Chr12:42582-42587	7	93::1	0::108	31::102	13::64	0.9895833333333334	0.0	0.0	A3SS
LOC_Os12g01080	Chr12:42479-42494	1	0::93	108::0	14::89	51::53	-1.0	0.0	0.0	A5SS
LOC_Os12g01080	Chr12:42582-42587	2	93::1	0::108	31::112	13::106	0.9895833333333334	0.0	0.0	A3SS
LOC_Os12g01190	Chr12:111185-111221	11	1567::1	1054::152	1394::518	1053::687	0.12586100132004063	0.0	0.0	A5SS
LOC_Os12g01574	Chr12:350536-350545	1	276::3	0::272	380::220	112::149	0.989247311827957	0.0	0.0	A5SS
LOC_Os12g13130	Chr12:7311006-7311032	11	1720::5	769::257	1575::980	1118::1165	0.24734655607970657	0.0	0.0	A3SS
LOC_Os12g13290	Chr12:7390424-7390819	2	323::1089	175::607	6583::3239	5330::900	0.005092803384679934	0.0	0.0	A5SS
LOC_Os12g13290	Chr12:7392677-7392682	8	4876::15	1390::2	3346::2948	733::1282	-0.001274161890983172	0.0	0.0	A3SS
LOC_Os12g18729	Chr12:10823043-10823586	1	523::0	758::133	500::7	811::1117	0.14927048260381592	0.0	0.0	A5SS
LOC_Os12g20144	Chr12:11719132-11719194	6	243::0	3::88	1402::1516	928::1834	0.967032967032967	0.0	0.0	MXE
LOC_Os12g20150	Chr12:11732637-11732745	14	0::487	230::363	9::656	50::639	-0.388374052232519	0.0	0.0	Cassette
LOC_Os12g24170	Chr12:13770338-13770428	11-12	0::436	219::518	7::549	213::910	-0.2971506105834464	0.0	0.0	Cassette
LOC_Os12g29680	Chr12:17703178-17703258	5	0::194	229::8	6::6	303::211	-0.9615115465360392	0.0	0.0	AltEnd
LOC_Os12g29680	Chr12:17701444-17701474	8	0::194	131::8	6::18	142::152	-0.934601664684899	0.0	0.0	AltEnd
LOC_Os12g29680	Chr12:17701444-17701739	7	0::194	308::8	6::18	125::152	-0.9710982658959537	0.0	0.0	AltEnd
LOC_Os12g31470	Chr12:18931014-18931026	9-10	85::0	0::104	86::149	42::122	1.0	0.0	0.0	Cassette
LOC_Os12g31470	Chr12:18931154-18931213	10	0::83	147::0	6::68	215::247	-1.0	0.0	0.0	A3SS
LOC_Os12g31748	Chr12:19106477-19106500	8	196::3	0::198	169::62	18::79	0.9849246231155779	0.0	0.0	A3SS
LOC_Os12g32536	Chr12:19635828-19635862	1	2::458	404::329	65::1047	494::676	-0.5468117919212291	0.0	0.0	A5SS
LOC_Os12g32536	Chr12:19638761-19638788	5	26::1264	2594::0	425::1653	2439::2561	-0.9798449612403101	0.0	0.0	A5SS
LOC_Os12g34900	Chr12:21248663-21248684	4	322::50	7::785	1094::1200	486::1219	0.8567641595140273	0.0	0.0	A3SS
LOC_Os12g38180	Chr12:23443046-23444242	1	480::486	328::0	468::433	432::327	-0.5031055900621118	0.0	0.0	A5SS
LOC_Os12g38180	Chr12:23444953-23445033	1-2	486::479	0::328	596::514	177::664	0.5036269430051813	0.0	0.0	AltEnd
LOC_Os12g38440	Chr12:23599562-23599621	10	8607::334	6223::3312	3144::4235	2325::5811	0.30995943579423346	0.0	0.0	Cassette
LOC_Os12g42550	Chr12:26426814-26426826	2	5181::422	5906::1327	4227::5767	5240::7440	0.10812251977457277	0.0	0.0	A3SS
LOC_Os02g47420	Chr2:28958630-28958823	2	2615::0	398::395	700::1617	131::1476	0.498108448928121	5.01347382793356E-16	2.3681700678891716E-14	Cassette
LOC_Os07g41370	Chr7:24793018-24793220	7-8	4765::9270	564::11887	2856::5967	581::5684	0.2942027422840718	5.835517612939928E-16	2.7374614347046475E-14	Cassette
LOC_Os02g47850	Chr2:29273310-29273419	10	722::4463	1::4549	419::4641	38::4273	0.13902805005987262	6.799986004541395E-16	3.168048274170587E-14	Cassette
LOC_Os02g07210	Chr2:3707778-3707852	5	3167::1494	7068::2	1767::3081	3994::3466	-0.32024918923068935	1.7647730855679648E-15	8.165977229954623E-14	Cassette
LOC_Os02g38494	Chr2:23283382-23285375	6	183::0	417::165	48::8	231::1778	0.2869434773994507	5.461033859880524E-15	2.5098616428991437E-13	AltEnd
LOC_Os12g18729	Chr12:10824325-10826309	3	0::1196	243::1237	22::1356	257::1430	-0.16418918918918918	5.778528484108979E-15	2.6379564261012937E-13	A5SS
LOC_Os06g02240	Chr6:700807-700906	3-4	353::1061	0::1439	457::1524	16::1378	0.24964639321074963	5.923953795396926E-15	2.686315581085993E-13	Cassette
LOC_Os04g39210	Chr4:23317019-23317108	5	229::670	1::729	283::964	40::766	0.2533576119584927	6.196530184096335E-15	2.7913111465048524E-13	A3SS
LOC_Os04g34440	Chr4:20855812-20858005	1	122::585	0::627	345::223	7::161	0.17256011315417255	2.7325170328484282E-14	1.2228013721996715E-12	A5SS
LOC_Os04g39900	Chr4:23773095-23773175	before first	207::0	138::112	234::8	173::209	0.44799999999999995	7.433744099151153E-14	3.3048579975441926E-12	AltStart
LOC_Os08g14450	Chr8:8681837-8681988	9	2775::0	2443::12	3514::585	1382::490	0.004887983706720944	1.2577733963413964E-13	5.555438079165051E-12	A5SS
LOC_Os08g13880	Chr8:8308148-8308228	2-3	1::235	122::158	9::93	91::28	-0.4314769975786925	1.5155558711070307E-13	6.650845829206466E-12	AltStart
LOC_Os04g33940	Chr4:20552627-20552638	4	0::259	172::187	39::238	185::333	-0.479108635097493	1.5950609082083792E-13	6.954874549764996E-12	A5SS
LOC_Os08g14460	Chr8:8681837-8681988	15	2775::0	2443::12	3514::585	1382::489	0.004887983706720944	1.7753336087353148E-13	7.691604590202301E-12	A3SS
LOC_Os05g47530	Chr5:27225557-27225565	3	0::873	112::687	374::921	421::808	-0.14017521902377972	2.1846773262432641E-13	9.405174160194104E-12	A5SS
LOC_Os04g53496	Chr4:31859377-31859428	2	590::0	1349::0	652::433	1323::277	0.0	3.003590348776856E-13	1.2849321731056713E-11	A5SS
LOC_Os09g10910	Chr9:5996289-5996325	2	30::100	477::87	346::2197	872::2529	-0.614975450081833	4.0542240054177086E-13	1.7235519803032036E-11	A3SS
LOC_Os07g37760	Chr7:22655086-22655175	before first	8764::4739	31686::7494	512::702	10759::6829	-0.15971417153303813	5.169092255497737E-13	2.1838612125401E-11	Cassette
LOC_Os02g10400	Chr2:5471510-5471602	7-8	169::163	0::295	96::231	6::279	0.5090361445783133	5.658912130262493E-13	2.3760444635830542E-11	Cassette
LOC_Os12g18729	Chr12:10833093-10833127	5	2047::5	2468::7	2256::544	2474::1537	3.916356547936095E-4	1.0222065493867617E-12	4.265674201796781E-11	A3SS
LOC_Os05g38580	Chr5:22630839-22630891	6	1::1003	414::601	6::492	213::427	-0.4068857574627598	1.1793170035487367E-12	4.8912891817917725E-11	Cassette
LOC_Os08g01794	Chr8:477128-477843	3	3::867	93::509	6::1326	99::957	-0.15103677397181808	1.6631624169510447E-12	6.856261066727882E-11	Cassette_multi
LOC_Os05g28860	Chr5:16922300-16922354	5	239::104	1::298	295::397	28::269	0.6934485213101007	2.2697408201466487E-12	9.300468107612955E-11	A5SS
LOC_Os05g01240	Chr5:163416-163495	11	3072::4	2655::158	1406::1700	1357::1745	0.05486740227542852	2.501861292804524E-12	1.0190215876440941E-10	Cassette
LOC_Os06g15410	Chr6:8756275-8756356	5	505::59	90::164	276::279	83::207	0.5410593622605686	2.6817700928667186E-12	1.0857976292666321E-10	Cassette
LOC_Os10g24094	Chr10:12344157-12344174	1-2	1739::447	1023::1058	1557::787	709::845	0.30424766132450787	3.0398649437617673E-12	1.2235006714477836E-10	Cassette
LOC_Os12g21930	Chr12:12351303-12351543	1-2	0::359	249::285	6::202	233::335	-0.46629213483146065	3.1409094219097993E-12	1.255959396967565E-10	Cassette
LOC_Os08g13910	Chr8:8308148-8308228	1-2	1::235	122::158	9::60	91::41	-0.4314769975786925	3.157439824778795E-12	1.255959396967565E-10	AltStart
LOC_Os01g13660	Chr1:7653910-7654252	2	6132::19	5880::748	3414::20	3980::249	0.10976562779778709	4.087035122395069E-12	1.6162798199146083E-10	AltEnd
LOC_Os12g01200	Chr12:113363-113368	16	1282::5	982::2	1374::874	1064::1482	-0.0018535900117169213	4.443427829547655E-12	1.747063358183997E-10	A3SS
LOC_Os04g32690	Chr4:19696441-19696524	26	2905::2	2070::261	1530::841	1175::893	0.1112811174730679	6.294267145502905E-12	2.460552018604067E-10	Cassette
LOC_Os06g19470	Chr6:11093566-11093691	10	399::1683	1::1504	297::1557	34::1286	0.19097819946958744	8.690529695607605E-12	3.377884742258453E-10	Cassette
LOC_Os10g24094	Chr10:12342485-12342864	4-5	0::563	34::299	216::2723	607::1874	-0.1021021021021021	1.1114474333171544E-11	4.2954917280814113E-10	MXE
LOC_Os01g16660	Chr1:9448594-9448681	5	349::2	245::227	216::12	291::233	0.47523419769182484	1.2347240516167424E-11	4.744967796100046E-10	MXE
LOC_Os02g12450	Chr2:6489243-6490637	before first	239::283	324::7	132::223	286::54	-0.5209975576159553	1.4804453363639785E-11	5.6572972909819E-10	A3SS
LOC_Os05g37160	Chr5:21712445-21712503	7	74::1263	0::1923	386::1540	155::2165	0.055347793567688854	1.522451692820686E-11	5.785316432718606E-10	A3SS
LOC_Os07g11290	Chr7:6233508-6233571	3	90::1425	0::2430	302::2031	175::2698	0.0594059405940594	1.810549170879002E-11	6.841864144621651E-10	A3SS
LOC_Os07g04430	Chr7:1963838-1963918	3-4	53::127	0::383	47::306	355::811	0.29444444444444445	3.0229567092539084E-11	1.1360304716212755E-9	AltStart
LOC_Os10g07080	Chr10:3729725-3729773	1-2	75::62	3::508	364::506	151::545	0.5415744139871728	3.1122080374207614E-11	1.1631450038756056E-9	Cassette
LOC_Os04g39210	Chr4:23316629-23316673	3	606::1	388::92	744::988	527::772	0.19001922020867656	3.3649127395296026E-11	1.2507178390317134E-9	A3SS
LOC_Os11g09710	Chr11:5183243-5183292	4	2948::20	7012::13	2730::738	6261::5257	-0.004888537358981537	3.6648162203875525E-11	1.3547869527758766E-9	A3SS
LOC_Os10g27274	Chr10:14397438-14397468	2	569::15	354::19	533::316	592::918	0.025330987210286482	4.082026061744901E-11	1.5008616903777738E-9	A5SS
LOC_Os05g39140	Chr5:22959041-22960400	2	535::0	361::84	90::6	306::434	0.18876404494382026	4.9378830047723454E-11	1.8057785052936286E-9	A5SS
LOC_Os12g20410	Chr12:11916268-11916277	3	1283::53	3569::7	845::1112	2100::2583	-0.03771425845904619	5.882915688005358E-11	2.139871257209222E-9	A5SS
LOC_Os08g40580	Chr8:25688005-25688059	8	3149::138	3242::2	3348::3628	3179::3414	-0.04136704883453368	6.799140676131108E-11	2.459986961651266E-9	A5SS
LOC_Os04g53440	Chr4:31822193-31822281	3	0::3038	263::3477	866::3678	964::4262	-0.07032085561497327	1.1872909949588215E-10	4.272991189264499E-9	A3SS
LOC_Os02g42134	Chr2:25338732-25339406	18	47::413	0::378	24::511	163::454	0.1019522776572668	1.3172296587196286E-10	4.715682178216271E-9	A5SS
LOC_Os01g55090	Chr1:31674561-31675466	2-3	408::746	572::141	322::1491	457::975	-0.4486911796519697	1.3527504041095706E-10	4.817491229713769E-9	Cassette
LOC_Os10g24094	Chr10:12343632-12343726	4	1919::542	1552::66	1841::1425	1538::1131	-0.17974170933364275	2.186300163139542E-10	7.745423807122482E-9	Cassette
LOC_Os03g58070	Chr3:33063813-33063848	2-3	664::23925	0::16356	563::26336	197::20639	0.02700339575835214	2.723310432892171E-10	9.59790547385106E-9	Cassette
LOC_Os08g14880	Chr8:8970179-8970341	9	75::10	1204::4	3781::1173	861::883	-0.11433580054538373	2.9998894926189613E-10	1.0518169241646482E-8	Cassette_multi
LOC_Os07g41720	Chr7:24999786-24999917	2	0::767	71::489	69::860	272::852	-0.12678571428571428	3.996964894666106E-10	1.3942233442830181E-8	A3SS
LOC_Os03g36419	Chr3:20182962-20183005	7	1033::95	313::339	726::890	417::836	0.43571879215072007	4.6083007098984E-10	1.5992684402412712E-8	Cassette
